google.%/search, q, google.com/search
bing.%/search, q, bing.com/search
nova.rambler.%/search, query, nova.rambler.ru/search
%.search.yahoo.%/search, p, us.search.yahoo.com/search
ask.%/web, q, ask.com/web
search.aol.%/aol/search, q, search.aol.com/aol/search
baidu.%/s, wd, baidu.com/s
wolframalpha.%/input/, i, wolframalpha.com/input/
duckduckgo.%, q, duckduckgo.com
results.dogpile.%/search/web, q, results.dogpile.com/search/web
yippy.%/search, query, yippy.com/search
yandex.%/search, text, yandex.ru/search
wiki.%/results1.htm, q, wiki.com/results1.htm
slideshare.%/search/slideshow, q, slideshare.net/search/slideshow
webcrawler.%/serp, q, webcrawler.com/serp
info.%/serp, q, info.com/serp
europeana.%/portal/%/search, q, europeana.eu/portal/en/search
gibiru.%, q, gibiru.com
flickr.%/search, q, flickr.com/search
soundcloud.%/search/sounds, q, soundcloud.com/search/sounds
archive.%/search.php, query, archive.org/search.php
mamma.%, s, mamma.com
web1.exactseek.%/webclient, q, web1.exactseek.com/webclient
m.youtube.%/results, search_query, m.youtube.com/results
ecosia.%s/search, q, ecosia.org/search
